time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.2520757105e-06,3.08040734141e-05,10.0699259972,0.00213924721634,0.000275533837468,0.0,-0.000207147026581,0.00188591784848,2.3292265072,0.0148671274957,0.00467411320084,0.0,899.864890713,900.054015166,899.381954986,899.983710427
0.12000000000000001,-6.76568368468e-05,0.000346947672751,10.2789225075,0.0032746317938,0.00223331022166,0.0,-0.0027164368056,0.00910399495702,4.63103996555,0.0192027383283,0.0177121385798,0.0,899.545421311,900.073030558,899.565207814,899.740504258
0.18,-0.000470034838165,0.00121724030529,10.6244456018,0.00634610354996,0.00559360883444,0.0,-0.0120066431788,0.0210907301669,6.8757677941,0.0332262692687,0.0331598879117,0.0,899.527025348,900.152121483,899.391689737,899.9592362
0.23999999999999996,-0.00173449372997,0.00305719970355,11.1022210216,0.00972688463317,0.0111943086595,0.0,-0.0322363088057,0.0414621495488,9.03562164261,0.0449839522013,0.0528109543121,0.0,899.427201398,900.222703704,899.469722593,899.945671313
0.3,-0.00463954577783,0.00636210192309,11.7064364463,0.0126503555684,0.0167931112121,0.0,-0.0664997914722,0.0696400315967,11.087293428,0.0491103450657,0.0687296156216,0.0,899.332541548,899.977644227,899.900068959,900.067184446
0.36000000000000004,-0.0100127877901,0.0115452647489,12.4300417698,0.0156883426215,0.024722936623,0.0,-0.115106491507,0.104007088011,13.0129044595,0.0443881478372,0.0889340441419,0.0,899.299224173,900.118736615,900.363572148,900.172575432
0.4200000000000001,-0.0187904533324,0.01894746628,13.2650129201,0.0183533425051,0.0319908410054,0.0,-0.179415991006,0.143312070745,14.7979480617,0.0444708403146,0.103006518371,0.0,899.417891356,899.99035571,900.228520419,900.231893865
0.48000000000000015,-0.0318075009218,0.0288164536274,14.2026930079,0.0210196852705,0.0394084693797,0.0,-0.256144084103,0.186103428967,16.4357558802,0.0443713510799,0.114049668318,0.0,899.692787129,900.143594658,900.316327297,900.312327127
0.5400000000000001,-0.0497425180102,0.0413443327709,15.2340891881,0.0247092479908,0.0463037776793,0.0,-0.342892327663,0.232096263864,17.9217588894,0.0543387071342,0.115627664613,0.0,899.82641508,899.894736624,899.927028085,900.330652678
0.6000000000000002,-0.073108843538,0.0567468285436,16.350165394,0.0279935874366,0.0533174742794,0.0,-0.436944264533,0.28168730164,19.2589281659,0.0552175566689,0.117677526285,0.0,899.887239565,899.974841432,900.225263831,900.26117232
0.6600000000000003,-0.102298076328,0.0752299945041,17.5421111189,0.0356037234388,0.0604427577522,0.0,-0.536793688863,0.335719736076,20.4516984411,0.0767568819409,0.113444106949,0.0,900.129863754,899.963040613,899.704594711,900.57729735
0.7200000000000003,-0.137612294528,0.0972268741437,18.8014577235,0.045214495764,0.0673591073602,0.0,-0.640857799966,0.399007112747,21.5069399116,0.100093826709,0.108421682224,0.0,900.07536972,899.876126418,899.498260335,900.44519889
0.7800000000000004,-0.179256374154,0.123313377707,20.120267241,0.0547951737241,0.0739158292167,0.0,-0.747538808261,0.471738243354,22.4353093171,0.119640432619,0.109980042749,0.0,900.082465927,900.149429408,899.513861708,900.309148398
0.8400000000000004,-0.227352086858,0.153985148639,21.4912610109,0.0626250571094,0.0807213579616,0.0,-0.85587832586,0.551276437954,23.2480167665,0.127362522067,0.103656079576,0.0,900.358198271,900.105931911,899.91074407,900.228653458
0.9000000000000005,-0.281982856926,0.189569562319,22.9078019988,0.0739494260881,0.0871437480649,0.0,-0.965227197814,0.635945368993,23.9552257749,0.147217730437,0.0973756990895,0.0,900.089742081,899.838592146,899.93866082,900.74902048
0.9600000000000005,-0.343182139552,0.230435944384,24.3639003588,0.0840158835583,0.0932400212826,0.0,-1.07471045083,0.726934061416,24.5682048867,0.158241751549,0.101822185543,0.0,899.948457784,900.131492351,900.075511418,900.530597086
1.0200000000000005,-0.410945068116,0.27689278686,25.8542232137,0.0944996382499,0.0993550068192,0.0,-1.18402853738,0.822222105525,25.0975923299,0.16800214825,0.099165628607,0.0,900.049493788,899.945048481,900.174859552,900.580303689
1.0800000000000005,-0.485260948793,0.329182407318,27.3740361181,0.105482784501,0.105619567653,0.0,-1.29319051201,0.921319658006,25.5526758899,0.177279845079,0.0917044146494,0.0,900.019320982,899.719890222,900.068804968,900.456266368
1.1400000000000006,-0.566130219038,0.387528201043,28.9192216416,0.116107908759,0.11158900362,0.0,-1.40242427297,1.02397095556,25.9446250881,0.176285368511,0.098086888688,0.0,899.972804803,900.233827689,900.365599213,900.338125341
1.2000000000000006,-0.653560189265,0.452115475645,30.4862115825,0.12667406773,0.118982363779,0.0,-1.51212820628,1.12930806433,26.2806956686,0.175440743195,0.110392567955,0.0,899.990595533,900.492105213,900.216557485,900.19498842
1.2600000000000007,-0.747622995807,0.523094201337,32.0718715204,0.137688149973,0.12679935087,0.0,-1.62361338885,1.23702810372,26.5680476045,0.181982957097,0.121219105384,0.0,899.823288643,900.266113064,900.075710264,900.353518207
1.3200000000000007,-0.848448455395,0.60061397509,33.6734940238,0.149688683568,0.135785513986,0.0,-1.73775465159,1.347420907,26.8137844206,0.192237327154,0.1344059853,0.0,899.657653537,900.19738075,899.951005615,900.380499783
1.3800000000000008,-0.956241476739,0.684849089362,35.2887806325,0.16176566081,0.14659210988,0.0,-1.8561524623,1.46086734295,27.0243799341,0.19919522205,0.151385079537,0.0,899.589846205,900.284917063,899.883318063,900.181037414
